0,0,3201b
0,0,3202b
0,0,3203b
0,0,3204b
0,0,3205b
0,0,3206b
0,0,3207b
0,0,3208b
0,0,3209b
0,0,3210b
0,0,3211b
0,0,3212b
0,0,3213b
0,0,3214b
0,0,3215b
0,0,3216b
0,0,3217b
0,0,3218b
0,0,3219b
0,0,3220b
0,0,3221b
0,0,3222b
0,0,3223b
0,0,3224b
0,0,3225b
0,0,3226b
0,0,3227b
0,0,3228b
0,0,3229b
0,0,3230b
0,0,3231b
0,0,3232b
0,0,3233b
0,0,3234b
0,0,3235b
0,0,3236b
0,0,3237b
0,0,3238b
0,0,3239b
0,0,3240b
0,0,3241b
0,0,3242b
0,0,3243b
0,0,3244b
0,0,3245b
0,0,3246b
0,0,3247b
0,0,3248b
0,0,3249b
0,0,3250b
0,0,3251b
0,0,3252b
0,0,3253b
0,0,3254b
0,0,3255b
0,0,3256b
0,0,3257b
0,0,3258b
0,0,3259b
0,0,3260b
0,0,3261b
0,0,3262b
0,0,3263b
0,0,3264b
0,0,3265b
0,0,3266b
0,0,3267b
0,0,3268b
0,0,3269b
0,0,3270b
0,0,3271b
0,0,3272b
0,0,3273b
0,0,3274b
0,0,3275b
0,0,3276b
0,0,3277b
0,0,3278b
0,0,3279b
0,0,3280b
0,0,3281b
0,0,3282b
0,0,3283b
0,0,3284b
0,0,3285b
0,0,3286b
0,0,3287b
0,0,3288b
0,0,3289b
0,0,3290b
0,0,3291b
0,0,3292b
0,0,3293b
0,0,3294b
0,0,3295b
0,0,3296b
0,0,3297b
0,0,3298b
0,0,3299b
0,0,3300b
0,0,3301b
0,0,3302b
0,0,3303b
0,0,3304b
0,0,3305b
0,0,3306b
0,0,3307b
0,0,3308b
0,0,3309b
0,0,3310b
0,0,3311b
0,0,3312b
0,0,3313b
0,0,3314b
0,0,3315b
0,0,3316b
0,0,3317b
0,0,3318b
0,0,3319b
0,0,3320b
0,0,3321b
0,0,3322b
0,0,3323b
0,0,3324b
0,0,3325b
0,0,3326b
0,0,3327b
0,0,3328b
0,0,3329b
0,0,3330b
0,0,3331b
0,0,3332b
0,0,3333b
0,0,3334b
0,0,3335b
0,0,3336b
0,0,3337b
0,0,3338b
0,0,3339b
0,0,3340b
0,0,3341b
0,0,3342b
0,0,3343b
0,0,3344b
0,0,3345b
0,0,3346b
0,0,3347b
0,0,3348b
0,0,3349b
0,0,3350b
0,0,3351b
0,0,3352b
0,0,3353b
0,0,3354b
0,0,3355b
0,0,3356b
0,0,3357b
0,0,3358b
0,0,3359b
0,0,3360b
0,0,3361b
0,0,3362b
0,0,3363b
0,0,3364b
0,0,3365b
0,0,3366b
0,0,3367b
0,0,3368b
0,0,3369b
0,0,3370b
0,0,3371b
0,0,3372b
0,0,3373b
0,0,3374b
0,0,3375b
0,0,3376b
0,0,3377b
0,0,3378b
0,0,3379b
0,0,3380b
0,0,3381b
0,0,3382b
0,0,3383b
0,0,3384b
0,0,3385b
0,0,3386b
0,0,3387b
0,0,3388b
0,0,3389b
0,0,3390b
0,0,3391b
0,0,3392b
0,0,3393b
0,0,3394b
0,0,3395b
0,0,3396b
0,0,3397b
0,0,3398b
0,0,3399b
0,0,3400b
0,0,3401b
0,0,3402b
0,0,3403b
0,0,3404b
0,0,3405b
0,0,3406b
0,0,3407b
0,0,3408b
0,0,3409b
0,0,3410b
0,0,3411b
0,0,3412b
0,0,3413b
0,0,3414b
0,0,3415b
0,0,3416b
0,0,3417b
0,0,3418b
0,0,3419b
0,0,3420b
0,0,3421b
0,0,3422b
0,0,3423b
0,0,3424b
0,0,3425b
0,0,3426b
0,0,3427b
0,0,3428b
0,0,3429b
0,0,3430b
0,0,3431b
0,0,3432b
0,0,3433b
0,0,3434b
0,0,3435b
0,0,3436b
0,0,3437b
0,0,3438b
0,0,3439b
0,0,3440b
0,0,3441b
0,0,3442b
0,0,3443b
0,0,3444b
0,0,3445b
0,0,3446b
0,0,3447b
0,0,3448b
0,0,3449b
0,0,3450b
0,0,3451b
0,0,3452b
0,0,3453b
0,0,3454b
0,0,3455b
0,0,3456b